"","word","relative_frequency"
"180","convers",0.0751901032799909
"181","upload",0.0751901032799909
"182","welcom",0.0751901032799909
"183","qualiti",0.0747172095486702
"184","futur",0.0742443158173495
"185","player",0.0737714220860288
"186","poemtalk",0.0737714220860288
"187","discuss",0.0732985283547081
"188","mani",0.0728256346233874
"189","back",0.0723527408920667
"190","dead",0.0723527408920667
"191","start",0.0723527408920667
"192","event",0.071879847160746
"193","far",0.071879847160746
"194","fine",0.071879847160746
"195","vinyl",0.071879847160746
"196","birthday",0.0714069534294253
"197","iasaweb",0.0714069534294253
"198","part",0.0709340596981047
"199","grate",0.0704611659667839
"200","pleas",0.0704611659667839
"201","public",0.0699882722354633
"202","shoresound",0.0690424847728218
"203","2016",0.0685695910415011
"204","bbc",0.0685695910415011
"205","sing",0.0685695910415011
"206","hour",0.0676238035788598
"207","past",0.0676238035788598
"208","take",0.0676238035788598
"209","1000",0.0671509098475391
"210","digitis",0.0671509098475391
"211","rare",0.0671509098475391
"212","resid",0.0671509098475391
"213","much",0.0666780161162184
"214","research",0.0666780161162184
"215","support",0.0666780161162184
"216","r",0.0662051223848977
"217","histor",0.065732228653577
"218","track",0.0652593349222563
"219","speak",0.0647864411909356
"220","tape",0.0647864411909356
"221","audiovisu",0.0643135474596149
"222","auld",0.0643135474596149
"223","photo",0.0643135474596149
"224","syne",0.0643135474596149
"225","5",0.0638406537282942
"226","bnfmond",0.0638406537282942
"227","afilrei",0.0633677599969735
"228","europ",0.0633677599969735
"229","articl",0.0628948662656528
"230","citiesandmemori",0.0628948662656528
"231","instrument",0.0628948662656528
"232","may",0.0628948662656528
"233","piec",0.0628948662656528
"234","30",0.0624219725343321
"235","ashberi",0.0624219725343321
"236","found",0.0624219725343321
"237","speech",0.0624219725343321
"238","nois",0.0619490788030114
"239","paul",0.0619490788030114
"240","announc",0.0614761850716907
"241","curat",0.0614761850716907
"242","restor",0.06100329134037
"243","thing",0.06100329134037
"244","think",0.06100329134037
"245","baraka",0.0600575038777286
"246","mention",0.0600575038777286
"247","3",0.0595846101464079
"248","amiri",0.0595846101464079
"249","wikipedia",0.0595846101464079
"250","programm",0.0591117164150872
"251","short",0.0591117164150872
"252","workshop",0.0586388226837665
"253","english",0.0581659289524458
"254","gt",0.0581659289524458
"255","tune",0.0581659289524458
"256","close",0.0576930352211251
"257","coastal",0.0576930352211251
"258","languag",0.0576930352211251
"259","blacklivesmatt",0.0567472477584837
